ORF,distance,meta
YNL241C,31.9544900477,(rmkDM, 06/18/12, 9, 21, 29.780295140243393),(11, 12/10/11, 14, 10, 34.12868495511519)
YDR080W,31.8215066731,(add4, 4/26/12, 2, 20, 37.157138779237272),(rmkDM, 06/18/12, 7, 7, 26.269362190787511),(rmkDM, 06/19/12, 8, 18, 20.374827395154963),(3, 11/19/11, 3, 13, 43.484698327241404)
YOR132W,31.6456600978,(rmkDM, 06/19/12, 4, 19, 25.115231723130993),(12, 12/09/11, 8, 21, 38.176088472387356)
YOL081W,31.6214476756,(add1, 4/26/12, 6, 14, 49.993836473398048),(rmkDM, 06/19/12, 10, 12, 13.249058877766707)
YPL180W,31.493584968,(add4, 4/26/12, 7, 16)
YDR123C,31.4914103808,(3, 11/19/11, 9, 15, 31.491410380834623)
YCR034W,31.4668324147,(rmkDM, 06/19/12, 4, 9, 21.851896009278281),(2, 11/29/11, 13, 7, 41.081768820073506)
YLR338W,31.2096571601,(9, 12/09/11, 4, 13)
YOR264W,31.1568767485,(add1, 4/26/12, 15, 21)
YBR131W,30.9597529166,(TS3-37, 12/02/11, 8, 5)
YFR019W,30.7125046646,(rmkDM, 06/18/12, 7, 12, 19.776140885517957),(5, 11/30/11, 3, 8, 41.648868443749386)
YDR126W,30.5763010373,(TS3-RT, 12/02/11, 13, 13)
YBR135W,30.540560706,(TS4-37, 12/02/11, 13, 19)
YNL316C,30.5378271943,(11, 12/10/11, 8, 5)
YLR320W,30.4558335369,(9, 12/09/11, 2, 17)
YBR160W,30.4443737091,(TS1-37, 12/01/11, 3, 4)
YKL048C,30.4378764265,(rmkDM, 06/18/12, 3, 15, 13.699219605166878),(8, 11/30/11, 15, 18, 47.17653324789886)
YKR037C,30.4148167418,(TS1-RT, 12/01/11, 15, 7)
YDR236C,30.3170754958,(TS1-37, 12/01/11, 7, 17)
YFL039C,30.2593726918,(TS4-RT, 12/02/11, 10, 9)
YGL142C,30.2277260233,(TS3-37, 12/02/11, 10, 5)
YGL212W,30.1414315379,(rmkDM, 06/19/12, 14, 4, 22.178564663872457),(5, 11/30/11, 2, 8, 38.1042984118776)
YHR178W,30.0649066891,(TS2-RT, 12/01/11, 7, 15)
YPL002C,30.0485190148,(S2, 12/11/11, 3, 12)
YBR198C,29.9947825408,(TS1-RT, 12/01/11, 14, 11)
YDL114W,29.9752228357,(2, 11/29/11, 6, 19)
YPL085W,29.9167197206,(TS4-37, 12/02/11, 15, 13)
YLR358C,29.8906714136,(S1, 11/19/11, 13, 7)
YJL080C,29.8876939041,(S1, 11/19/11, 8, 11)
YHL025W,29.8693474695,(add4, 4/26/12, 13, 6)
YGR006W,29.6780508593,(TS4-RT, 12/02/11, 6, 13)
YML104C,29.6158848783,(10, 12/10/11, 9, 21)
YBR080C,29.6023853502,(TS1-37, 12/01/11, 9, 22)
YKR068C,29.5890751515,(TS3-37, 12/02/11, 14, 13)
YNL091W,29.5360434465,(11, 12/10/11, 11, 11, 29.53604344650125)
YPL028W,29.5301754024,(TS3-37, 12/02/11, 4, 18)
YNR006W,29.4651173044,(rmkDM, 06/18/12, 5, 14, 23.402372411093573),(11, 12/10/11, 14, 21, 35.527862197725256)
YBR160W,29.2296525252,(TS4-RT, 12/02/11, 7, 3)
YJL115W,29.0999594987,(TS1-RT, 12/01/11, 8, 20)
YLL002W,28.9513837086,(add4, 4/26/12, 15, 7, 29.930616442577008),(8, 11/30/11, 10, 17, 27.97215097455188)
YCL029C,28.9482826401,(2, 11/29/11, 3, 15)
YAL002W,28.8862618671,(rmkDM, 06/19/12, 4, 22, 18.026271115181515),(1, 11/29/11, 3, 22, 39.746252619022805)
YDL140C,28.8788043552,(TS3-RT, 12/02/11, 8, 22)
YNL263C,28.8762740988,(TS2-RT, 12/01/11, 10, 13)
YLR268W,28.7761949339,(TS2-37, 12/01/11, 10, 3)
YDL195W,28.7739177911,(TS2-37, 12/01/11, 9, 19)
YDR189W,28.7461385983,(TS2-37, 12/01/11, 4, 18)
YNL138W,28.6411615178,(TS1-37, 12/01/11, 11, 15)
YJL154C,28.4530545453,(rmkDM, 06/19/12, 6, 8, 18.967890374804924),(7, 11/30/11, 8, 4, 37.938218715819978)
YER145C,28.4287326158,(rmkDM, 06/19/12, 12, 21, 20.010739879080646),(4, 11/29/11, 2, 19, 36.846725352541249)
YJR032W,28.3204697544,(7, 11/30/11, 6, 3)
YKR083C,28.2112684693,(TS3-37, 12/02/11, 6, 10)
YIL030C,28.1800798066,(6, 11/30/11, 10, 7)
YOR014W,28.1760572606,(rmkDM, 06/19/12, 12, 2, 19.014534542418325),(12, 12/09/11, 4, 6, 37.337579978869464)
YDR331W,28.1335458928,(TS4-RT, 12/02/11, 2, 9)
YML001W,28.032201183,(rmkDM, 06/18/12, 9, 8, 21.354489658291971),(10, 12/10/11, 9, 14, 34.709912707661587)
YAL041W,28.0139063955,(TS4-RT, 12/02/11, 14, 16)
YLR025W,27.9694494141,(S2, 12/11/11, 8, 6)
YJR087W,27.9555279444,(7, 11/30/11, 12, 3)
YLR440C,27.9473797415,(TS2-37, 12/01/11, 8, 21)
YDL077C,27.9266179912,(TS4-RT, 12/02/11, 2, 17)
YOR254C,27.896363551,(TS2-37, 12/01/11, 8, 13)
YFL039C,27.8893072218,(TS2-RT, 12/01/11, 3, 2)
YDR126W,27.8646482528,(TS3-37, 12/02/11, 13, 13)
YPR170C,27.8608333976,(add4, 4/26/12, 2, 14, 35.576459047754895),(rmkDM, 06/18/12, 9, 16, 20.145207747424472)
YGR006W,27.8592254457,(TS4-37, 12/02/11, 8, 22)
YGR052W,27.7873421453,(5, 11/30/11, 4, 23)
YBL072C,27.7159618746,(1, 11/29/11, 9, 9)
YDR310C,27.6859450097,(3, 11/19/11, 2, 13, 27.685945009650432)
YCR006C,27.6328473236,(rmkDM, 06/18/12, 5, 16, 14.864746944218572),(2, 11/29/11, 9, 13, 40.400947703070763)
