ORF,distance,meta
YMR116C,310.758715925,(rmkDM, 06/18/12, 3, 10, 292.5824683133448),(10, 12/10/11, 10, 4, 328.93496353693337)
YML037C,310.54358677,(10, 12/10/11, 15, 16)
YOR080W,310.304145374,(rmkDM, 06/18/12, 13, 16, 355.49730715257198),(12, 12/09/11, 14, 10, 265.11098359610969)
YER163C,310.183224955,(4, 11/29/11, 4, 19)
YAR029W,308.665055502,(1, 11/29/11, 13, 20)
YPL137C,308.214123844,(13, 12/11/11, 12, 6)
YKL074C,306.344334357,(TS2-37, 12/01/11, 2, 9)
YBR068C,306.290439355,(1, 11/29/11, 8, 6)
YOR165W,306.13212031,(12, 12/09/11, 10, 3)
YKL095W,305.483419271,(TS4-37, 12/02/11, 14, 23)
YPR047W,305.325331273,(S1, 11/19/11, 12, 15, 163.55413559700219),(S1, 11/19/11, 15, 21, 447.09652694865878)
YLR099C,303.643329434,(9, 12/09/11, 5, 23)
YLR118C,302.46105596,(9, 12/09/11, 7, 23)
YJL081C,302.339218941,(TS1-37, 12/01/11, 4, 13)
YBL064C,301.888320584,(1, 11/29/11, 7, 3)
YDR387C,300.99709293,(3, 11/19/11, 10, 3)
YDR323C,300.5612091,(S2, 12/11/11, 14, 22)
YCL033C,299.897723882,(2, 11/29/11, 3, 9)
YLR376C,299.611390139,(9, 12/09/11, 10, 17)
YFL013C,297.174873259,(TS2-37, 12/01/11, 2, 21)
YPL030W,296.672794977,(13, 12/11/11, 15, 21)
YHR010W,296.103070717,(S1, 11/19/11, 10, 9)
YDR536W,296.080827593,(4, 11/29/11, 15, 12)
YCR011C,294.808191307,(2, 11/29/11, 9, 3)
YAR035W,294.534921137,(1, 11/29/11, 13, 14)
YOR198C,294.516392416,(S1, 11/19/11, 4, 13)
YBR193C,293.632755537,(TS1-37, 12/01/11, 4, 14)
YGL029W,293.192350234,(add4, 4/26/12, 12, 2)
YOR121C,291.266869568,(12, 12/09/11, 6, 13)
YKR037C,291.209033391,(TS1-RT, 12/01/11, 15, 7)
YDR126W,290.578340189,(TS3-RT, 12/02/11, 13, 13)
YBR106W,290.49113879,(1, 11/29/11, 14, 20)
YLR080W,289.898389613,(9, 12/09/11, 15, 12)
YML041C,289.065355355,(10, 12/10/11, 15, 12, 289.06535535532578)
YKL024C,287.925506557,(TS2-37, 12/01/11, 15, 16)
YFL056C,287.858230003,(4, 11/29/11, 14, 15)
YPR135W,286.361743569,(rmkDM, 06/18/12, 15, 17, 322.05240488729532),(14, 12/11/11, 7, 23, 250.67108225034517)
YDR126W,286.050994288,(TS3-37, 12/02/11, 13, 13)
YAL041W,285.623119857,(TS4-37, 12/02/11, 8, 21)
YEL007W,285.312328431,(rmkDM, 06/19/12, 12, 7, 239.9478816495388),(4, 11/29/11, 3, 13, 330.67677521175597)
YER177W,284.653587669,(4, 11/29/11, 6, 23)
YBR040W,284.401599527,(1, 11/29/11, 4, 12)
YLR320W,283.959448819,(9, 12/09/11, 2, 17)
YFL039C,283.931782983,(TS1-37, 12/01/11, 14, 19)
YLR351C,283.456154185,(9, 12/09/11, 6, 15)
YFL030W,282.701911721,(4, 11/29/11, 10, 15)
YFL028C,282.589487565,(4, 11/29/11, 10, 17)
YLR182W,282.000996959,(rmkDM, 06/19/12, 12, 3, 319.00689536741299),(9, 12/09/11, 13, 5, 244.99509854972189)
YGR006W,281.440573919,(TS4-37, 12/02/11, 8, 22)
YDR418W,281.268132348,(S1, 11/19/11, 5, 2, 282.78309934366627),(S1, 11/19/11, 9, 15, 279.75316535155861)
YLR078C,281.137337257,(TS2-37, 12/01/11, 2, 16)
YOR292C,281.093929679,(rmkDM, 06/19/12, 8, 3, 228.78370290491083),(13, 12/11/11, 13, 16, 333.4041564526521)
YEL009C,280.343229484,(S1, 11/19/11, 13, 12)
YOR177C,280.247529765,(add4, 4/26/12, 10, 23)
YLR440C,278.98519961,(TS3-37, 12/02/11, 12, 23)
YPL002C,278.94950081,(S2, 12/11/11, 3, 12)
YBL096C,278.632952215,(1, 11/29/11, 13, 21)
YDR017C,278.084642814,(S1, 11/19/11, 2, 5)
YFL049W,277.760947955,(4, 11/29/11, 12, 7)
YBL015W,277.756858968,(1, 11/29/11, 15, 2)
YFR037C,277.615608933,(TS4-37, 12/02/11, 11, 19)
YPL154C,276.545539547,(13, 12/11/11, 14, 6)
YAR050W,275.787620881,(1, 11/29/11, 15, 22)
YLR298C,275.509041225,(TS3-RT, 12/02/11, 2, 3)
YDL130W-A,275.391393046,(2, 11/29/11, 8, 15)
YPL055C,274.809001954,(add1, 4/26/12, 13, 8, 274.8090019542434)
YDR123C,274.390706812,(3, 11/19/11, 9, 15, 274.39070681184813)
YLR212C,274.174461357,(TS2-RT, 12/01/11, 5, 8)
YLR392C,273.94708471,(9, 12/09/11, 12, 13)
YHR013C,273.833047379,(S2, 12/11/11, 4, 15)
YLR191W,273.649426981,(9, 12/09/11, 15, 11, 273.64942698100276)
YDL012C,272.822458442,(2, 11/29/11, 8, 10)
YPL113C,271.390706672,(13, 12/11/11, 10, 14)
YML048W,271.222395236,(10, 12/10/11, 15, 6)
YDR201W,270.977810969,(TS2-37, 12/01/11, 15, 12)
YFL053W,270.774033483,(add4, 4/26/12, 5, 15, 125.48823234978856),(rmkDM, 06/19/12, 10, 2, 151.15071772117957),(4, 11/29/11, 14, 21, 535.68315037880234)
YOR181W,270.43334625,(TS3-37, 12/02/11, 4, 11)
YDR473C,270.250834017,(TS4-37, 12/02/11, 15, 14)
YBR198C,269.879609175,(TS1-37, 12/01/11, 14, 11)
YPL124W,269.680033575,(TS3-37, 12/02/11, 15, 5)
YDR034C,269.098399737,(add4, 4/26/12, 13, 10)
YDR272W,268.337847925,(3, 11/19/11, 12, 16)
YGL142C,268.096963676,(TS3-37, 12/02/11, 10, 5)
YJL215C,268.016090969,(add4, 4/26/12, 8, 15, 357.63440881986151),(7, 11/30/11, 2, 3, 178.39777311796325)
YDR170C,267.972861981,(TS2-37, 12/01/11, 15, 2)
YKL113C,267.435907937,(8, 11/30/11, 9, 13, 267.43590793654607)
YLR378C,267.081570566,(TS1-RT, 12/01/11, 13, 4)
YAL041W,266.812299974,(TS1-37, 12/01/11, 15, 17)
YMR078C,266.602895539,(TS2-RT, 12/01/11, 13, 4)
YLR079W,266.531549573,(9, 12/09/11, 15, 14)
YEL015W,266.517861485,(4, 11/29/11, 5, 21)
YOR174W,266.511794424,(TS1-37, 12/01/11, 13, 3)
YPL271W,266.19143662,(S1, 11/19/11, 12, 18, 131.74919531971793),(S2, 12/11/11, 9, 13, 400.63367791990072)
YCR034W,266.093771386,(rmkDM, 06/19/12, 4, 9, 250.72161458410437),(2, 11/29/11, 13, 7, 281.46592818854629)
