TS1-37,12/01/11,12,1,YOR202W
TS1-37,12/01/11,16,17,YOR202W
TS1-RT,12/01/11,1,2,YOR202W
TS1-RT,12/01/11,3,1,YOR202W
TS1-RT,12/01/11,6,1,YOR202W
TS1-RT,12/01/11,7,1,YOR202W
TS1-RT,12/01/11,9,1,YOR202W
TS1-RT,12/01/11,12,1,YOR202W
TS1-RT,12/01/11,16,1,YOR202W
TS1-RT,12/01/11,16,21,YOR202W
TS2-37,12/01/11,1,4,YOR202W
TS2-37,12/01/11,1,8,YOR202W
TS2-37,12/01/11,1,12,YOR202W
TS2-37,12/01/11,1,16,YOR202W
TS2-37,12/01/11,1,24,YOR202W
TS2-37,12/01/11,3,24,YOR202W
TS2-37,12/01/11,4,24,YOR202W
TS2-37,12/01/11,5,24,YOR202W
TS2-37,12/01/11,13,24,YOR202W
TS2-RT,12/01/11,1,1,YOR202W
TS2-RT,12/01/11,2,24,YOR202W
TS2-RT,12/01/11,7,1,YOR202W
TS2-RT,12/01/11,8,1,YOR202W
TS2-RT,12/01/11,8,24,YOR202W
TS2-RT,12/01/11,10,1,YOR202W
TS2-RT,12/01/11,10,24,YOR202W
TS2-RT,12/01/11,11,24,YOR202W
TS2-RT,12/01/11,14,1,YOR202W
TS2-RT,12/01/11,16,6,YOR202W
TS2-RT,12/01/11,16,8,YOR202W
TS2-RT,12/01/11,16,10,YOR202W
TS2-RT,12/01/11,16,14,YOR202W
TS2-RT,12/01/11,16,16,YOR202W
TS2-RT,12/01/11,16,18,YOR202W
TS2-RT,12/01/11,16,22,YOR202W
TS2-RT,12/01/11,16,24,YOR202W
TS3-37,12/02/11,2,1,YOR202W
TS3-37,12/02/11,4,1,YOR202W
TS3-37,12/02/11,7,24,YOR202W
TS3-37,12/02/11,9,24,YOR202W
TS3-37,12/02/11,12,1,YOR202W
TS3-37,12/02/11,13,24,YOR202W
TS3-37,12/02/11,16,22,YOR202W
TS3-RT,12/02/11,1,20,YOR202W
TS3-RT,12/02/11,15,1,YOR202W
TS4-37,12/02/11,1,9,YOR202W
TS4-37,12/02/11,1,11,YOR202W
TS4-37,12/02/11,1,23,YOR202W
TS4-37,12/02/11,6,1,YOR202W
TS4-37,12/02/11,7,1,YOR202W
TS4-37,12/02/11,9,1,YOR202W
TS4-37,12/02/11,9,24,YOR202W
TS4-37,12/02/11,16,16,YOR202W
TS4-37,12/02/11,16,20,YOR202W
TS4-RT,12/02/11,6,24,YOR202W
TS4-RT,12/02/11,16,2,YOR202W
TS4-RT,12/02/11,16,6,YOR202W
TS4-RT,12/02/11,16,10,YOR202W
TS4-RT,12/02/11,16,20,YOR202W
TS4-RT,12/02/11,16,24,YOR202W
