Cluster 0: size = 130 (WT = 130)
Cluster 1: size = 278 (WT = 278)
Cluster 2: size = 184 (WT = 184)
ORF,plate,date,row,col,cluster
YOR202W,TS3-37,12/02/11,1,20,2
YOR202W,TS3-37,12/02/11,1,21,2
YOR202W,TS3-37,12/02/11,1,22,2
YOR202W,TS3-37,12/02/11,1,23,2
YOR202W,TS3-37,12/02/11,1,24,2
YOR202W,TS3-37,12/02/11,2,1,0
YOR202W,TS3-37,12/02/11,2,24,2
YOR202W,TS3-37,12/02/11,3,1,0
YOR202W,TS3-37,12/02/11,4,1,0
YOR202W,TS3-37,12/02/11,4,24,2
YOR202W,TS3-37,12/02/11,5,1,1
YOR202W,TS3-37,12/02/11,5,24,2
YOR202W,TS3-37,12/02/11,6,1,0
YOR202W,TS3-37,12/02/11,6,24,2
YOR202W,TS3-37,12/02/11,7,1,2
YOR202W,TS3-37,12/02/11,7,24,0
YOR202W,TS3-37,12/02/11,8,1,0
YOR202W,TS3-37,12/02/11,8,24,2
YOR202W,TS3-37,12/02/11,9,1,0
YOR202W,TS3-37,12/02/11,9,24,2
YOR202W,TS3-37,12/02/11,10,1,0
YOR202W,TS3-37,12/02/11,10,24,2
YOR202W,TS3-37,12/02/11,11,1,1
YOR202W,TS3-37,12/02/11,11,24,2
YOR202W,TS3-37,12/02/11,12,1,0
YOR202W,TS3-37,12/02/11,13,1,2
YOR202W,TS3-37,12/02/11,13,24,2
YOR202W,TS3-37,12/02/11,15,1,1
YOR202W,TS3-37,12/02/11,15,24,2
YOR202W,TS3-37,12/02/11,16,1,0
YOR202W,TS3-37,12/02/11,16,3,2
YOR202W,TS3-37,12/02/11,16,4,1
YOR202W,TS3-37,12/02/11,16,5,1
YOR202W,TS3-37,12/02/11,16,7,2
YOR202W,TS3-37,12/02/11,16,8,1
YOR202W,TS3-37,12/02/11,16,9,2
YOR202W,TS3-37,12/02/11,16,11,2
YOR202W,TS3-37,12/02/11,16,13,2
YOR202W,TS3-37,12/02/11,16,15,2
YOR202W,TS3-37,12/02/11,16,16,2
YOR202W,TS3-37,12/02/11,16,17,2
YOR202W,TS3-37,12/02/11,16,19,2
YOR202W,TS3-37,12/02/11,16,21,2
YOR202W,TS3-37,12/02/11,16,22,2
YOR202W,TS3-37,12/02/11,16,23,2
YOR202W,TS3-37,12/02/11,16,24,2
YOR202W,TS3-RT,12/02/11,1,1,1
YOR202W,TS3-RT,12/02/11,1,2,1
YOR202W,TS3-RT,12/02/11,1,3,0
YOR202W,TS3-RT,12/02/11,1,4,1
YOR202W,TS3-RT,12/02/11,1,5,0
YOR202W,TS3-RT,12/02/11,1,6,1
YOR202W,TS3-RT,12/02/11,1,7,0
YOR202W,TS3-RT,12/02/11,1,8,0
YOR202W,TS3-RT,12/02/11,1,9,0
YOR202W,TS3-RT,12/02/11,1,10,1
YOR202W,TS3-RT,12/02/11,1,11,0
YOR202W,TS3-RT,12/02/11,1,12,0
YOR202W,TS3-RT,12/02/11,1,13,0
YOR202W,TS3-RT,12/02/11,1,14,1
YOR202W,TS3-RT,12/02/11,1,15,0
YOR202W,TS3-RT,12/02/11,1,16,0
YOR202W,TS3-RT,12/02/11,1,17,0
YOR202W,TS3-RT,12/02/11,1,18,1
YOR202W,TS3-RT,12/02/11,1,19,1
YOR202W,TS3-RT,12/02/11,1,20,0
