Cluster 0: size = 123 (WT = 123)
Cluster 1: size = 110 (WT = 110)
Cluster 2: size = 161 (WT = 161)
Cluster 3: size = 111 (WT = 111)
Cluster 4: size = 87 (WT = 87)
ORF,plate,date,row,col,cluster
YOR202W,TS2-RT,12/01/11,16,6,0
YOR202W,TS2-RT,12/01/11,16,7,0
YOR202W,TS2-RT,12/01/11,16,8,4
YOR202W,TS2-RT,12/01/11,16,9,2
YOR202W,TS2-RT,12/01/11,16,10,0
YOR202W,TS2-RT,12/01/11,16,11,2
YOR202W,TS2-RT,12/01/11,16,12,2
YOR202W,TS2-RT,12/01/11,16,13,0
YOR202W,TS2-RT,12/01/11,16,14,2
YOR202W,TS2-RT,12/01/11,16,15,0
YOR202W,TS2-RT,12/01/11,16,16,4
YOR202W,TS2-RT,12/01/11,16,17,2
YOR202W,TS2-RT,12/01/11,16,18,2
YOR202W,TS2-RT,12/01/11,16,19,2
YOR202W,TS2-RT,12/01/11,16,20,4
YOR202W,TS2-RT,12/01/11,16,21,2
YOR202W,TS2-RT,12/01/11,16,22,2
YOR202W,TS2-RT,12/01/11,16,23,2
YOR202W,TS2-RT,12/01/11,16,24,2
YOR202W,TS3-37,12/02/11,1,1,4
YOR202W,TS3-37,12/02/11,1,2,4
YOR202W,TS3-37,12/02/11,1,3,2
YOR202W,TS3-37,12/02/11,1,4,1
YOR202W,TS3-37,12/02/11,1,5,1
YOR202W,TS3-37,12/02/11,1,6,1
YOR202W,TS3-37,12/02/11,1,7,1
YOR202W,TS3-37,12/02/11,1,8,1
YOR202W,TS3-37,12/02/11,1,9,1
YOR202W,TS3-37,12/02/11,1,10,1
YOR202W,TS3-37,12/02/11,1,11,1
YOR202W,TS3-37,12/02/11,1,12,1
YOR202W,TS3-37,12/02/11,1,13,1
YOR202W,TS3-37,12/02/11,1,14,1
YOR202W,TS3-37,12/02/11,1,15,3
YOR202W,TS3-37,12/02/11,1,16,1
YOR202W,TS3-37,12/02/11,1,17,3
YOR202W,TS3-37,12/02/11,1,18,3
YOR202W,TS3-37,12/02/11,1,19,3
YOR202W,TS3-37,12/02/11,1,20,3
YOR202W,TS3-37,12/02/11,1,21,3
YOR202W,TS3-37,12/02/11,1,22,3
YOR202W,TS3-37,12/02/11,1,23,3
