ORF,plate,date,row,col,class,proba
YJR095W,add1,4/26/12,6,9,0,1.00000,0.00000
YBR104W,add1,4/26/12,6,10,0,0.99993,0.00007
YBR161W,add1,4/26/12,6,11,1,0.00006,0.99994
YIL064W,add1,4/26/12,6,13,0,1.00000,0.00000
YOL081W,add1,4/26/12,6,14,0,1.00000,0.00000
YDL027C,add1,4/26/12,6,15,0,1.00000,0.00000
YIL060W,add1,4/26/12,6,16,0,1.00000,0.00000
YOR183W,add1,4/26/12,6,17,0,0.99888,0.00112
YPL056C,add1,4/26/12,6,18,1,0.00000,1.00000
YPL003W,add1,4/26/12,6,19,0,1.00000,0.00000
YGL151W,add1,4/26/12,6,20,0,1.00000,0.00000
YNL330C,add1,4/26/12,6,21,0,1.00000,0.00000
YAL058C-A,add1,4/26/12,6,22,0,1.00000,0.00000
YER132C,add1,4/26/12,6,23,0,1.00000,0.00000
YOL004W,add1,4/26/12,7,2,1,0.01609,0.98391
YOR325W,add1,4/26/12,7,3,0,1.00000,0.00000
YEL068C,add1,4/26/12,7,4,0,1.00000,0.00000
YBR027C,add1,4/26/12,7,5,1,0.00041,0.99959
YDR492W,add1,4/26/12,7,6,1,0.00000,1.00000
YER116C,add1,4/26/12,7,7,0,1.00000,0.00000
YAL058W,add1,4/26/12,7,8,0,1.00000,0.00000
YOR153W,add1,4/26/12,7,9,0,1.00000,0.00000
YJL214W,add1,4/26/12,7,10,0,1.00000,0.00000
YJR025C,add1,4/26/12,7,11,0,1.00000,0.00000
YDL149W,add1,4/26/12,7,12,0,1.00000,0.00000
YDR389W,add1,4/26/12,7,13,0,1.00000,0.00000
YNL128W,add1,4/26/12,7,14,0,1.00000,0.00000
YOL063C,add1,4/26/12,7,15,0,1.00000,0.00000
YAR023C,add1,4/26/12,7,16,0,1.00000,0.00000
YEL011W,add1,4/26/12,7,17,0,1.00000,0.00000
YCL036W,add1,4/26/12,7,18,0,1.00000,0.00000
YCR089W,add1,4/26/12,7,19,0,1.00000,0.00000
YBR171W,add1,4/26/12,7,20,0,1.00000,0.00000
YOL019W,add1,4/26/12,7,21,0,1.00000,0.00000
YBL001C,add1,4/26/12,7,22,0,1.00000,0.00000
YER048C,add1,4/26/12,7,23,0,1.00000,0.00000
YCR092C,add1,4/26/12,8,2,0,1.00000,0.00000
YGR019W,add1,4/26/12,8,3,0,1.00000,0.00000
YMR155W,add1,4/26/12,8,4,0,1.00000,0.00000
YLR452C,add1,4/26/12,8,5,0,1.00000,0.00000
YER115C,add1,4/26/12,8,6,0,1.00000,0.00000
YOR354C,add1,4/26/12,8,7,0,0.99970,0.00030
YPL074W,add1,4/26/12,8,8,0,1.00000,0.00000
YOR032C,add1,4/26/12,8,9,0,1.00000,0.00000
YPR051W,add1,4/26/12,8,10,0,1.00000,0.00000
YEL053C,add1,4/26/12,8,12,0,1.00000,0.00000
YPL216W,add1,4/26/12,8,13,0,1.00000,0.00000
YPL232W,add1,4/26/12,8,14,0,0.79354,0.20646
YBR223C,add1,4/26/12,8,15,0,1.00000,0.00000
YOR106W,add1,4/26/12,8,16,1,0.00000,1.00000
YMR104C,add1,4/26/12,8,17,0,1.00000,0.00000
YDL127W,add1,4/26/12,8,18,0,1.00000,0.00000
YBR296C,add1,4/26/12,8,19,0,1.00000,0.00000
YDR458C,add1,4/26/12,8,21,0,1.00000,0.00000
YDR540C,add1,4/26/12,8,22,0,1.00000,0.00000
YPL032C,add1,4/26/12,8,23,0,1.00000,0.00000
YDR497C,add1,4/26/12,9,2,0,1.00000,0.00000
YDR539W,add1,4/26/12,9,3,0,0.99997,0.00003
YOR263C,add1,4/26/12,9,4,0,1.00000,0.00000
YFL040W,add1,4/26/12,9,6,0,1.00000,0.00000
YCR069W,add1,4/26/12,9,7,0,1.00000,0.00000
YMR030W,add1,4/26/12,9,8,0,1.00000,0.00000
